merchant_id,category_name,category_name_new
13142,Frauen > Bekleidung > Sweat > Sweatjacken,Bekleidung > Damen > Pullover & Strickjacken,
13142,Frauen > Bekleidung > Sweat > Sweatshirts,Bekleidung > Damen > Pullover & Strickjacken > Pullover > Sweatshirts,
13142,Frauen > Bekleidung > Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Tops > Ärmellose Shirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Tops > Spaghetti Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Tops > Spitzentops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Tops > Tank Tops,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
13142,Frauen > Bekleidung > Trachtenmode > Dirndlblusen,Bekleidung > Damen > Trachten > Blusen,
13142,Frauen > Bekleidung > Trachtenmode > Trachtenblusen,Bekleidung > Damen > Trachten > Blusen,
13142,Frauen > Bekleidung > Trachtenmode > Trachtenjacken,Bekleidung > Damen > Trachten > Jacken,
13142,Frauen > Bekleidung > Westen,Bekleidung > Damen > Jacken & Mäntel,
13142,Frauen > Schuhe > Sandalen > Plateau-Sandalen,Schuhe > Damen > Sandalen,
13142,Frauen > Schuhe > Sandalen > Sandaletten,Schuhe > Damen > Sandaletten,
13142,Männer > Accessoires > Caps & Mützen > Caps,Accessoires > Herren > Hüte/Mützen > Mützen,
13142,Männer > Accessoires > Handschuhe,Accessoires > Herren > Handschuhe,
13142,Männer > Bekleidung > Anzüge & Sakkos > Anzug-Sakkos,Bekleidung > Herren > Anzüge & Sakkos > Sakkos,
13142,Männer > Bekleidung > Anzüge & Sakkos > Business Hemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
13142,Männer > Bekleidung > Anzüge & Sakkos > Krawatten & Accessoires > Fliegen,Accessoires > Herren > Hosenträger & Krawatten > Fliegen,
13142,Männer > Bekleidung > Anzüge & Sakkos > Sakkos,Bekleidung > Herren > Anzüge & Sakkos > Sakkos,
13142,Männer > Bekleidung > Hemden > Business Hemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
13142,Männer > Bekleidung > Hemden > Casual Hemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
13142,Männer > Bekleidung > Hemden > Karohemden,Bekleidung > Herren > T-Shirts & Hemden > Hemden,
13142,Männer > Bekleidung > Hosen > Cargohosen,Bekleidung > Herren > Hosen,
13142,Männer > Bekleidung > Hosen > Stoffhosen,Bekleidung > Herren > Hosen,
13142,Männer > Bekleidung > Hosen > Sweatpants,Bekleidung > Herren > Hosen,
13142,Männer > Bekleidung > Jacken > Bomberjacken,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Jacken > Parka > Winterparka,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Jacken > Steppjacken,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Jacken > Übergangsjacken,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Jacken > Westen,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Jacken > Winterjacken,Bekleidung > Herren > Jacken & Mäntel > Jacken,
13142,Männer > Bekleidung > Mäntel > Übergangsmäntel,Bekleidung > Herren > Jacken & Mäntel > Mäntel,
13142,Männer > Bekleidung > Pullover & Strickjacken > Pullover > Crew-Neck-Pullover,Bekleidung > Herren > Pullover & Strickjacken > Pullover,
13142,Männer > Bekleidung > Pullover & Strickjacken > Pullover > Rollkragenpullover,Bekleidung > Herren > Pullover & Strickjacken > Pullover > Rollkragenpullover,
13142,Männer > Bekleidung > Pullover & Strickjacken > Pullover > V-Neck-Pullover,Bekleidung > Herren > Pullover & Strickjacken > Pullover,
13142,Männer > Bekleidung > Pullover & Strickjacken > Strickjacken > Cardigans,Bekleidung > Herren > Pullover & Strickjacken > Strickjacken,
13142,Männer > Bekleidung > Pullover & Strickjacken > Strickjacken > Casual Strickjacken,Bekleidung > Herren > Pullover & Strickjacken > Strickjacken,
13142,Männer > Bekleidung > Shirts > Langarmshirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
13142,Männer > Bekleidung > Shirts > Poloshirts,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
13142,Männer > Bekleidung > Shirts > Tank Tops,Bekleidung > Herren > T-Shirts & Hemden > T-Shirts,
13142,Männer > Bekleidung > Shorts,Bekleidung > Herren > Hosen > Shorts,
13142,Männer > Bekleidung > Shorts > Cargoshorts,Bekleidung > Herren > Hosen > Shorts,
13142,Männer > Bekleidung > Sweat > Fleecejacken,Bekleidung > Herren > Pullover & Strickjacken,
13142,Männer > Bekleidung > Sweat > Hoodies,Bekleidung > Herren > Pullover & Strickjacken > Pullover > Kapuzenpullover,
13142,Männer > Bekleidung > Sweat > Kapuzensweatjacken,Bekleidung > Herren > Pullover & Strickjacken,
13142,Männer > Bekleidung > Sweat > Sweatjacken,Bekleidung > Herren > Pullover & Strickjacken,
13142,Männer > Bekleidung > Sweat > Sweatshirts,Bekleidung > Herren > Pullover & Strickjacken > Pullover > Sweatshirts,
13142,Männer > Bekleidung > Trachtenmode > Trachtenwesten,Bekleidung > Herren > Trachten,
9723,Bekleidung Erwachsene > Damen > Slim Fit Jeans,Bekleidung > Damen > Hosen > Jeans,
